"address","result_lat","result_lng","match"
"AIRE DE MIONNAY OUEST GALMIER A46 01390 MIONNAY",45.884935,4.89594,False
"Aire de Mionnay Est Chatanay 01390 Mionnay",45.884935,4.89594,False
"AIRE DE MIONNAY OUEST SAINT GALMIER 01390 MIONNAY",45.884935,4.89594,False
"AIRE DE MIONNAY EST CHATANAYAUTOROUTE A 46 01390 MIONNAY",45.884935,4.89594,False
"ZI DE LA SURE 01390 SAINT- ANDRE- DE-CORCY",45.938703000000004,4.968382,False
"AVENUE MARECHAL FOCH 01400 CHATILLON-SUR-CHALARONNE",46.121279,4.954791,True
"AVENUE PIERRE MARCAULT 01400 Châtillon-sur-Chalaronne",46.116817,4.94877,True
"ROUTE DE MARLIEUX 01400 Châtillon-sur-Chalaronne",46.109575,4.977703,True
"AUTOROUTE A 40  SENS PARIS PROV 01430 CEIGNES",46.129702,5.486711,False
"AIRE DE CEIGNES HAUT BUGEY 01430 CEIGNES",46.128234,5.48648,False
"2 Rue de l'Égalité 01430 Maillat",46.128138,5.539344,True
"AUTOROUTE A40  AIRE DE CEIGNES CERDON 01430 CEIGNES",46.117287,5.499099,False
"1029 ROUTE DE MARBOZLOUHANS 01440 VIRIAT",46.247572999999996,5.230477,False
" Route de Strasbourg 01440 VIRIAT",46.232541,5.260316,False
"261 Route de Paris 01440 Viriat",46.217055,5.213145,True
"68 Rue du Jura 01460 MONTREAL-LA-CLUSE",46.172369,5.5773209999999995,True
"Route de Berthiand 01460 Nurieux-Volognat",46.186479999999996,5.526375,False
"Rue de l'industrie  01460 Port",46.167048,5.569583000000001,False
"LES GRANGES DE MONTAGNIEU 01470 Montagnieu",45.79553,5.45969,False
" Rue des Verchères 01470 BRIORD",45.788464000000005,5.45366,False
" Rue Édouard Herriot 01480 JASSANS-RIOTTIER",45.984311,4.756958,False
"Rue Alexandre Bérard 01500 Ambérieu-en-Bugey",45.96698,5.3546949999999995,True
"550 Avenue Jean Mermoz 01500 CHâTEAU-GAILLARD",45.97665,5.318715,False
"15 Avenue de la Libération 01500 AMBéRIEU-EN-BUGEY",45.956637,5.332745,True
"550 RUE JEAN MERMOZ 01500 CHâTEAU-GAILLARD",45.97665,5.318715,True
"CENTRE COMMERCIAL DE L'AVIATIONRAIS 01500 Ambérieu-en-Bugey",45.960527,5.358232,False
"Chef Lieu 01510 Virieu-le-Grand",45.848471999999994,5.651064,False
"""1 rue des champs """"les terrasses"""" 01510 Artemare""",45.873111,5.698683,False
"184 rue du 19 mars 1962 01540 VONNAS",46.217405,4.992863,True
"za les grands varays rte de neuville 01540 Vonnas",46.212005,4.993764,False
"Route de PontdeVaux 01560 Saint-Trivier-de-Courtes",46.457252000000004,5.065568,False
"Grande Rue 01570 FEILLENS",46.337058,4.890708999999999,True
"18 Rue du 21 Juillet 1944 01590 DORTAN",46.321546999999995,5.656223000000001,True
"ZAC sous la Combe 01590 LAVANCIA-EPERCY",46.325817,5.674083,False
"Rue du Figuier 01700 MIRIBEL",45.828006,4.970342,True
"324 Route de Lyon 01600 TREVOUX",45.935317,4.789979,True
"Avenue Lavoisier 01600 MASSIEUX",45.904143,4.819469000000001,True
"RUE DE GENEVE  01630 SAINT-GENIS-POUILLY",46.242114,6.024958,False
"148 Rue des Chalets 01630 SAINT-GENIS-POUILLY",46.263818,6.02937,True
"ZA DU PRE MUNNY 01630 PéRON",46.183324,5.927446,False
"573 route de Genève 01640 Saint-Jean-le-Vieux",46.034973,5.389564,True
"RN 83 01700 Miribel",45.854819,4.932212,False
"ZAC des Beterses 01700 BEYNOST",45.823172,4.997314,False
"route de Bellegarde 01710 THOIRY",46.238836,5.972153,False
"223 route de BourgenBresse 01750 Replonges",46.299110999999996,4.880512,False
"47 Route de Lyon 01800 MEXIMIEUX",45.90104,5.189172,False
"11 route de PortGalland 01800 Saint-Maurice-de-Gourdans",45.821057,5.199585,False
"ROUTE DE CHALAMONT 01800 Meximieux",45.919228000000004,5.190318,True
"Chemin de Bellevue 01960 PERONNAS",46.181717,5.208119,True
"148 Avenue de Lyon 01960 PéRONNAS",46.190421,5.21124,True
"50 RUE DES ACACIAS 01960 SERVAS",46.15112,5.151466,False
"63 Rue du Bugey 01360 LOYETTES",45.77865,5.212401,True
"ZAC ILE DE FRANCE 02000 LAON",49.615867,3.6051830000000002,False
"16 RUE FERNAND CHRIST 02000 LAON",49.569922,3.607672,True
"44 Avenue Charles de Gaulle 02000 Laon",49.569563,3.6403260000000004,False
"97 Avenue Charles de Gaulle 02000 Laon",49.568925,3.6458510000000004,True
"16 Boulevard Pierre Brossolette 02000 Laon",49.569582000000004,3.622465,True
"rue Jean Jaures 02000 CHAMBRY",49.591243,3.6547940000000003,True
"167 Avenue Pierre Mendès France 02000 Laon",49.582167,3.644706,True
"RUE DU DR MENU 02000 Laon",49.562351,3.642889,False
"Route d'AMIENS 02100 SAINT-QUENTIN",49.840990999999995,3.2696680000000002,False
"51 Avenue du Général de Gaulle 02100 SAINT-QUENTIN",49.845681,3.3006279999999997,True
"Boulevard Camille Guérin 02100 SAINT-QUENTIN",49.833566,3.3024199999999997,False
"46 Avenue Faidherbe 02100 Saint-Quentin",49.843973999999996,3.279496,True
"Route de Guise 02100 HARLY",49.844021000000005,3.345585,True
