"id","superseded_by"
89150003,89150004
89290003,89290007
89470002,89470004
90000004,90000013
90000011,90000015
90100002,90100004
91000003,91000007
91100006,91100014
91120001,91190011
91130005,91130006
91140001,91140002
91150011,91150012
91160008,91160009
91170002,91170006
91210002,91210007
91210005,91210008
91210006,91210007
91250007,91250010
91270001,91270003
91290001,91290007
91290003,91290006
91300002,91300020
91300008,91300022
91300012,91300018
91300015,91300019
91300021,91300022
91350001,91350002
91360001,91360004
91380006,91380008
91400006,91400010
91430002,91570003
91460010,91460013
91470005,91470007
91630005,91630007
91640001,91640003
91700001,91700006
91700002,91700005
91940001,91940009
91940004,91940009
92000001,92000019
92000008,92000017
92000009,92000018
92000012,92000021
92000016,92000020
92000022,92000024
92100009,92100015
92130002,92130006
92140002,92140014
92140006,92140015
92150004,92150006
92150005,92150008
92160005,92160006
92170001,92170002
92210001,92210009
92210002,92210008
92210006,92210008
92220004,92220009
92230002,92230011
92230007,92230010
92240003,92240010
92240007,92240010
92300002,92300013
92300007,92300014
92300008,92300013
92300010,92300013
92300011,92300013
92340001,92340002
92370001,92370002
92380003,92380007
92400001,92400020
92400002,92400017
92400003,92400018
92400006,92400016
92400007,92400019
92400010,92400015
92500002,92500012
92600003,92600009
93000008,93000010
93100001,93100015
93100007,93100011
93100010,93100013
93130001,93130009
93130008,93130009
93160002,93160009
93160003,93160008
93170001,93170002
93210002,93210003
93230004,93230005
93240003,93240008
93240004,93240007
93260006,93260007
93290001,93290006
93290004,93290005
93300007,93300009
93320001,93320002
93330002,93330006
93330003,93330005
93350002,93350003
93380003,93380010
93380007,93380009
93400001,93400010
93400009,93400011
93420006,93420007
93440003,93440004
93500004,93500007
93500006,93500008
93600005,93606001
93600009,93606001
93700002,93700004
94000002,94000010
94000003,94000011
94000007,94000009
94003001,94003002
94100010,94100011
94120007,94120010
94130001,94130003
94150002,94150009
94150004,94550002
94150007,94150009
94200007,94200008
94220001,94220004
94310003,94310004
94340004,94340007
94340005,94340007
94350001,94350002
94370001,94370008
94370006,94370007
94380001,94380004
94400002,94400005
94430006,94430007
94450001,94450004
94512001,94594002
94537001,94537002
94588001,94150006
94600001,94600007
94700001,94700008
94700004,94700009
94800001,94800008
94800002,94800007
95100002,95100034
95100009,95100030
95100022,95100033
95100028,95100033
95110001,95110006
95110005,95110007
95150004,95150005
95190001,95190006
95190004,95190005
95220002,95220006
95230002,95230006
95230007,95230008
95260001,95260003
95290002,95290003
95310002,95310011
95320001,95320006
95370004,95370007
95370006,95370008
95420001,95420005
95450003,95450007
95450004,95450006
95460001,95460003
95470002,95470005
95470003,95470006
95480001,95480003
95500001,95500011
95500002,95500010
95500008,95500012
95550001,95500010
95570002,95570003
95650001,95650002
95712001,95712003
95712002,95712004
95740003,95740005
95740004,95740005
95800005,95800007
