Identifiant,Marque,Nom
2120004,Intermarché,INTERMARCHE GUISE
2120005,Total,STATION TOTAL LE CLAIR
2100009,Leclerc,LECLERC
2500001,Auchan,AUCHAN
2500004,Total Access,RELAIS HIRSON DE GAULLE
2500003,Leclerc,SODHIRS
2480001,Carrefour Contact,Carrefour Contact
2190005,Avia,Station AVIA
2260001,Carrefour Market,Carrefour Market
2800004,Carrefour Contact,Carrefour Contact
2460001,Intermarché,S.A. DIXY
2450002,Carrefour Contact,Carrefour Contact
2000002,Carrefour,Carrefour Laon
2000010,Carrefour Market,CARREFOUR MARKET
2000003,Carrefour Market,Carrefour Market Christ
2000007,Esso Express,ESSO CARNOT LAON
2000005,Total,GGE EUROPE AUTO
2000009,Intermarché,INTERMARCHE LAON
2170001,Carrefour Market,Carrefour Market
2340001,Carrefour Market,Carrefour Market
2250001,Carrefour Market,Carrefour Market
2250002,Total,GHEKIERE
2200011,Carrefour Market,Carrefour Market
2200013,Total,RELAIS MAUPAS
2100021,Leclerc,LECLERC
2390002,Indépendant sans enseigne,Origny
2210001,Total,ALLART
2320001,Carrefour Market,Carrefour Market
2290001,Indépendant sans enseigne,PARADIS SERVICE SA
2240001,Intermarché,INTERMARCHE RIBEMONT
2360001,Intermarché Contact,INTERMARCHE CONTACT
2280001,Intermarché,INTERMARCHE SAINT-ERME
2100001,Auchan,AUCHAN
2100012,CORA,CORA
2100018,Indépendant sans enseigne,DM Combustibles
2100008,Esso Express,ESSO FAIDHERBE
2100019,Intermarché,INTERMARCHE 153 Rue de Mulhouse
2100013,Intermarché,INTERMARCHE SAINT-QUENTIN /ZAC
2100011,Total Access,POREZ AUTO LOCA STATION
2100020,Total Access,RELAIS ST QUENTIN CAMILLE GUERIN
2100017,Netto,SARL MAROLEG
2200001,CORA,CORA SOISSONS
2200007,Esso Express,ESSO SOISSONS
2200015,Total Access,RELAIS SAINTE EUGENIE
2200014,Total,RELAIS SOISSONS
2700002,Leader Price,LEADER PRICE TERGNIER
2370004,Carrefour Contact,CARREFOUR CONTACT
2200008,Esso Express,ESSO VAUXBUIN
2200012,Carrefour Contact,SARL JP DISTRI
2140002,Carrefour Market,Carrefour Market
2140003,Intermarché,INTERMARCHE VERVINS
2600005,Total,AUTOMOBILES VILLERS SERVICES
2600001,Carrefour Market,Carrefour Market
2600003,Total,GARAGE DE LA FORET
2600004,Avia,RELAIS DU MOULIN SARL
2603001,Leclerc,VILLERDIS
2300001,Auchan,AUCHAN VIRY NOUREUIL
3360001,Intermarché,Intermarché
3000003,Leclerc,SA AVERMES DISTRIBUTION
3000006,Leclerc,Station les portes de l'Allier - SAS Avermes Distribution
3700004,Leclerc,BELLERIVEDIS
3700002,Total,Relais Lagarde Bellerive
3160001,Carrefour Market,Market
3110003,Avia,STATION AVIA
3350002,Carrefour Contact,CARREFOUR CONTACT
3110001,Total,Charmeil
3600001,Carrefour Market,Carrefour Market
3600003,Intermarché,INTERMARCHE COMMENTRY MALICORNE
3430001,Carrefour Market,Market
3300003,Carrefour,CARREFOUR
3300001,Carrefour Market,Carrefour Market
3300002,Total,Relais Lagarde Cusset
3630004,Carrefour Market,MARKET DESERTINES
3630003,Total Access,RELAIS CHATELARD
3240002,Total,RELAIS LAGARDE TOTAL DEUX CHAISES
3410007,Esso Express,ESSO EXPRESS DOMERAT TERRE NEUVE
3410008,Leclerc,LECLERC CHATEAUGAY
3410010,Casino,SUPERMARCHE CASINO DOMERAT
3290003,Esso,ESSO GARAGE MICHAUD
3290002,Système U,SUPER U
3290001,Atac,ATAC DOMPIERRE SUR BESBRE
3100006,Avia,Avia
3170001,Avia,Avia
3450001,Indépendant sans enseigne,CMN
3800003,Auchan,AUCHAN SUPERMARCHE
3800001,Carrefour Market,Market
3800004,Total,Relais Lagarde Gannat MENDES FRANCE
3800005,Total,Relais Lagarde Paris Lozère
3800006,Intermarché,SA SAIVE
3380002,Intermarché Contact,INTERMARCHE HURIEL
3380001,Total,MME CARTERON COLETTE
3120001,Agip,AGIP LAPALISSE - STATION CANTAT
3120004,Total Access,Aire des verites
3120002,Carrefour Market,Carrefour Market
3120003,Intermarché,INTERMARCHE LAPALISSE
3120005,Indépendant sans enseigne,LAPALISSE ESSENCE
3130002,Dyneff,STATION DONJONNAISE
3250002,Intermarché,INTERMARCHE LE MAYET DE MONTAGNE
3320001,Atac,ATAC LURCY LEVIS
3100001,Carrefour,CARREFOUR MONTLUCON
3100009,ENI FRANCE,ENI FRANCE RELAIS SAINT JEAN
3100008,Intermarché,INTERMARCHE MONTLUCON
3100010,Intermarché,INTERMARCHE MONTLUCON
3100007,Leclerc,LECLERC EXPRESS
3100005,Leclerc,Marais-Dis
3100002,Total,Relais Lagarde Montluçon
3410001,Auchan,AUCHAN CARBURANT MONTLUCON-DOMERAT
3390003,Carrefour Market,CARREFOUR MARKET
3000001,Carrefour,CARREFOUR MOULINS
3000004,Total,Dubois-Dallois Station TOTAL
3000005,Intermarché,INTERMARCHE MOULINS
3310002,Intermarché,SARL ADOL NERIS LES BAINS
3260001,Intermarché,INTERMARCHE CONTACT
3500002,Carrefour Market,Carrefour Market
3500005,Colruyt,DATS ST POURCAIN SUR SIOULE
3500003,Total,Relais de la Sioule Total Lagarde
3500006,Total Access,Station total access Relais des Beaumenus
3410004,Agip,EURL BITEZ
3410009,Leclerc,LECLERC LA LOUE
3270001,Carrefour Market,Carrefour Market
3500004,Avia,RELAIS PARIS PYRENEES
3210001,Intermarché Contact,INTERMARCHE CONTACT SOUVIGNY
3190003,Carrefour Contact,Carrefour Contact Vallon-en-Sully
3150005,Carrefour Market,Carrefour Market
3150004,Casino,CASINO SUPERMARCHE
3150006,Avia,RELAIS DU VAL D'ALLIER
3150001,Total,Relais Lagarde Varennes
3200005,CORA,CORA VICHY
3200003,Total,Relais de Gramont
3200002,Total,Relais Total du Vernet
3400002,Carrefour Market,Carrefour Market
3400003,Avia,RELAIS BEAU SOLEIL
3400001,Total,Relais Lagarde Yzeure
4260002,Indépendant sans enseigne,Le relais de Rochecline
4240002,Intermarché,INTERMARCHE ANNOT
4200006,Avia,Aire aubignosc
4400004,Indépendant sans enseigne,RELAIS DE TERRES NEUVES. SATA.
4400002,Total,SARL GARAGE DE RESTEFOND
4400001,Total,SARL MICHAUD
4400003,Indépendant sans enseigne,STATION DU GRAVIER. SATA.
4330004,Avia,SARL DOMI et STEPH
4120003,Casino,CASINO SUPERMARCHE
4120004,Avia,Relais Napoléon
4280001,Système U,Station U
4160003,Casino,CASINO SUPERMARCHE
4600001,Avia,M.ALAIN CARMONA - AGENT PEUGEOT
4160004,Total Access,RELAIS LE BELVEDERE
4160002,Total,SARL SNEGP - AGENT PEUGEOT
4000001,Carrefour,CARREFOUR DIGNE
4000003,Esso Express,ESSO DES CIMES
4000004,Intermarché,INTERMARCHE DIGNE
4320002,Intermarché,INTERMARCHE
4320001,Agip,SARL ENERGY ENTREVAUX JAUME
4300001,Casino,CASINO SUPERMARCHE
4300002,Intermarché,INTERMARCHE FORCALQUIER
4800001,Total,SAS L'OLIVERAIE
4700003,Carrefour Market,Carrefour Market
4120002,Huit à 8,Supérette 8 à Huit - LA BOUTIQUE
4190001,Intermarché,INTERMARCHE LES MEES
4510003,Avia,Station avia
4100002,Auchan,AUCHAN MANOSQUE
4100009,GARCIN FRERES,ETS GARCIN FRERES SAS
4103001,Système U,HYPER U
4100010,Total,RELAIS DES PONCHES
4100011,Total Access,RELAIS PLANTIERS
4100007,Leclerc,SAS SODIALPES
4360001,Total,GARAGE HONORAT
4700002,Intermarché,INTERMARCHE ORAISON
4700004,Total,Relais des Mélanes
4200003,Intermarché,INTERMARCHE PEIPIN
4500003,Intermarché,INTERMARCHE RIEZ
