"id","Nom","Marque","address","latitude","longitude","services","automate_h24","is_closed_day","business_hours","gas_price","gas_last_update"
"27370001","SA GGE DOLPIERRE","Total","Rue de la République 27370 AMFREVILLE-LA-CAMPAGNE","osm_lat      49.2073
Name: 282, dtype: object","osm_lng      0.935297
Name: 282, dtype: object","Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Location de véhicule|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel|Vente de pétrole lampant|Vente d'additifs carburants|Automate CB 24/24",True,False,"08:00-17:00",0.799,"2018-10-03 15:24:50"
"1430005","RELAIS DE CEIGNES CERDON","Total","AUTOROUTE A40  AIRE DE CEIGNES CERDON 01430 CEIGNES","osm_lat      46.1148
Name: 283, dtype: object","osm_lng      5.49064
Name: 283, dtype: object","",False,False,"",0.959,"2018-11-16 09:00:00"
"84300011","RELAIS BAS BANQUETS","Total Access","264 AVENUE DE CHEVAL BLANC 84300 CAVAILLON","osm_lat      43.831
Name: 286, dtype: object","osm_lng      5.0544
Name: 286, dtype: object","",False,False,"",0.805,"2018-11-17 00:01:00"
"11400001","GEANT CASINO","Géant","129 AVENUE MONSEIGNEUR DELANGLE 11400 Castelnaudary","osm_lat      43.3116
Name: 287, dtype: object","osm_lng      1.96926
Name: 287, dtype: object","Carburant additivé|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB",True,False,"",0.895,"2018-11-13 09:00:00"
"17920001","STATION AVIA","Avia","46 route du Magarin 17920 BREUILLET","osm_lat      45.6989
Name: 288, dtype: object","osm_lng     -1.05308
Name: 288, dtype: object","Carburant additivé|Automate CB",True,False,"",0.91,"2018-11-06 11:08:31"
"21220004","ESSO GEVREY EST","Esso","A31/E17/E21 21220 GEVREY-CHAMBERTIN","osm_lat      47.2224
Name: 290, dtype: object","osm_lng      5.00948
Name: 290, dtype: object","Carburant additivé|Restauration sur place|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Piste poids lourds",False,False,"",1.028,"2018-11-08 12:24:21"
"44210002","INTERMARCHE PORNIC","Intermarché","Route de Nantes  44210 PORNIC","osm_lat      47.1115
Name: 291, dtype: object","osm_lng     -2.07026
Name: 291, dtype: object","Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage manuel",True,False,"",0.818,"2018-11-16 09:33:54"
"91400010","RELAIS ENGOULEVENTS","Total Access","ROUTE DE PARIS RN 118 91400 SACLAY","osm_lat      48.7357
Name: 292, dtype: object","osm_lng      2.17436
Name: 292, dtype: object","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB",True,False,"",0.815,"2018-11-17 00:01:00"
"29290001","Carrefour ST RENAN","Carrefour","RUE DU PONT DE BOIS 29290 Saint-Renan","osm_lat      48.4288
Name: 294, dtype: object","osm_lng     -4.61355
Name: 294, dtype: object","",False,False,"",0.77,"2018-10-05 12:06:16"
"33380001","AUCHAN BIGANOS","Auchan"," Rue des Fonderies 33380 BIGANOS","osm_lat      44.6368
Name: 295, dtype: object","osm_lng     -0.959774
Name: 295, dtype: object","Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Vente de pétrole lampant",True,False,"",0.769,"2018-10-03 07:59:51"
