"osm_obj","osm_id","osm_lat","osm_lng","osm_ref:FR:prix-carburants","osm_name","osm_brand","osm_operator","osm_opening_hours"
"node","861917141",45.3768495,-1.1440616,"33930001","","","Elan","24/7"
"node","863461452",47.4818239,4.3510899,"21140001","Auchan","","",""
"node","863942211",45.6914445,-0.309429,"16100007","Intermarché Contact Station-service 24h/24 7j/7","","Groupement des Mousquetaires","24/7"
"node","864655269",43.8518913,6.5078142,"4120003","Casino","","Casino","24/7"
"node","865100354",46.010182,3.1970947,"63260002","","","Carrefour","24/7"
"node","866674532",44.8229104,0.9863767,"24170002","","","Carrefour","24/7"
"node","867340387",45.4950906,4.5266532,"42400006","","","Total","24/7"
"node","867611792",44.8603954,1.8819815,"46400001","","","Total",""
"node","869306742",47.2881289,5.7631277,"70150001","","","Groupement des Mousquetaires","24/7"
"node","869984623",45.7150906,4.7506861,"69630002","Station Elan","","","24/7"
"node","870307321",47.6641185,3.7387928,"89270001","","Atac","","24/7"
"node","871089355",48.7017881,2.3201997,"91380010","Total","","","24/7"
"node","871089356",48.7007614,2.3183221,"91380004","Esso","","","24/7"
"node","871794234",46.5983367,0.3227573,"86000012","Intermarché","Intermarché","Groupement des Mousquetaires","24/7"
"node","871822232",46.1677063,1.8877895,"23000001","","","Carrefour","24/7"
"node","871994221",44.2919259,2.5581864,"12450002","","","Total",""
"node","871994259",44.2788505,2.4288917,"12160002","","","Élan",""
"node","871994260",44.2886249,2.7147783,"12290001","","Total","Garages Cluzel",""
"node","872011927",44.3081252,2.2420455,"12240003","","Total","Total","24/7"
"node","872470158",44.4689119,1.4830788,"46090003","","","Total","24/7"
"node","872562763",44.7531284,0.773402,"24440001","","","Groupement des Mousquetaires","24/7"
"node","872583805",44.8551532,0.5759252,"24100003","","","Total","24/7"
"node","872648530",45.1852016,-1.0570186,"33990003","","","Yacco",""
"node","872689546",45.3110771,-0.939656,"33340004","","","Carrefour","24/7"
"node","872689556",45.3092716,-0.9372627,"33340001","","","Total","24/7"
"node","872734153",44.861035,-0.6952664,"33187002","","","Total","24/7"
"node","872734189",44.0430394,1.1048037,"82100003","","","Total","24/7"
"node","872770058",44.0896691,1.4460912,"82350001","Station Service Gaston","","Relais D'albias","24/7"
"node","872770061",44.1160328,1.4799979,"82440003","","","Total",""
"node","872804959",44.1778409,1.6231326,"82240001","Geraud Tampier","","","24/7"
"node","873836164",43.5401426,1.4795844,"31520005","Relais Total","","Total","24/7"
"node","874082727",43.3555004,1.2387307,"31410001","","","","24/7"
"node","874452149",44.8291251,-0.1904367,"33420002","Carrefour Market","","","24/7"
"node","875739741",48.6529419,6.1510041,"54500008","Relais Total access de Brabois","","Total","24/7"
"node","875927363",47.7734443,-3.0042783,"56330001","Station de Super U","","Système U",""
