"id","Nom","Marque","address","latitude","longitude","services","automate_h24","is_closed_day","business_hours","gas_price","gas_last_update"
"17000012","RELAIS STAR VILLENEUVE LES SALINES","Total","RUE JEANPAUL SARTRE 17000 La Rochelle","osm_lat      46.1569
Name: 15, dtype: object","osm_lng     -1.12036
Name: 15, dtype: object","",False,False,"",0.629,"2018-11-17 00:01:00"
"17240001","SAS FUEL 17","Total","75 AVENUE de Saintes 17240 SAINT-GENIS-DE-SAINTONGE","osm_lat      45.489
Name: 47, dtype: object","osm_lng     -0.565786
Name: 47, dtype: object","Carburant additivé|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Vente de fioul domestique|Wifi",True,False,"07:00-21:00",0.699,"2018-10-17 16:26:07"
"31700009","RELAIS BLAGNAC LOMAGNE","Total Access","120 ROUTE DE GRENADE 31700 BLAGNAC","osm_lat      43.6382
Name: 49, dtype: object","osm_lng      1.39027
Name: 49, dtype: object","Carburant additivé|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True,False,"",0.599,"2018-11-17 00:01:00"
"77250006","RELAIS MORET SUR LOING 1","Total Access","RD 606 77250 ECUELLES","osm_lat      48.364
Name: 57, dtype: object","osm_lng      2.85324
Name: 57, dtype: object","Restauration à emporter|Carburant additivé|Restauration sur place|Toilettes publiques|Bar|Douches|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique|Vente de fioul domestique",True,False,"",0.699,"2018-11-17 00:01:00"
"95290001","CARREFOUR L ISLE ADAM","Carrefour","BOULEVARD TILSIT 95290 L'ISLE-ADAM","osm_lat      49.1238
Name: 65, dtype: object","osm_lng      2.24822
Name: 65, dtype: object","Vente de gaz domestique (Butane, Propane)|Automate CB|Automate CB 24/24",True,False,"",0.749,"2018-11-16 09:44:16"
"52200012","STATION AVIA SARL BAMART","Avia","24 AVENUE TURENNE 52200 LANGRES","osm_lat      47.855
Name: 66, dtype: object","osm_lng      5.33249
Name: 66, dtype: object","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Relais colis|Piste poids lourds|Automate CB|Vente de fioul domestique",True,False,"",0.659,"2018-10-30 06:49:18"
"84100005","INTERMARCHE Autoroute","Intermarché","286 Avenue Charles de Gaulle 84100 ORANGE","osm_lat      44.1365
Name: 69, dtype: object","osm_lng      4.8009
Name: 69, dtype: object","Restauration à emporter|Carburant additivé|Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB",True,False,"",0.599,"2018-11-16 09:25:04"
"11200002","DYNEFF Lézignan-Corbières","Dyneff","RD6113 11200 LéZIGNAN-CORBIèRES","osm_lat      43.2032
Name: 72, dtype: object","osm_lng      2.78178
Name: 72, dtype: object","Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel|Vente de pétrole lampant",True,False,"",0.849,"2018-11-16 16:00:00"
"26270004","INTERMARCHE LORIOL","Intermarché","Parc des Crozes 26270 LORIOL-SUR-DRôME","osm_lat      44.7606
Name: 87, dtype: object","osm_lng      4.83807
Name: 87, dtype: object","Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage manuel|Vente de fioul domestique",True,False,"",0.699,"2018-10-08 10:49:33"
"11620001","DYNEFF Villemoustaussou","Dyneff","Lieu dit La Viala 11620 VILLEMOUSTAUSSOU","osm_lat      43.2559
Name: 100, dtype: object","osm_lng      2.3646
Name: 100, dtype: object","Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel|Vente de pétrole lampant",True,False,"",0.899,"2018-11-16 16:00:00"
"38320006","RELAIS D EYBENS","Total","ROCADE SUD 38320 EYBENS","osm_lat      45.1521
Name: 103, dtype: object","osm_lng      5.73985
Name: 103, dtype: object","",False,False,"",0.819,"2018-11-17 00:01:00"
"1100007","RELAIS DES CRETETS","Total","174 COURS DE VERDUN 01100 OYONNAX","osm_lat      46.2497
Name: 108, dtype: object","osm_lng      5.6413
Name: 108, dtype: object","Carburant additivé|Toilettes publiques|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique|Lavage manuel",True,False,"",0.749,"2018-11-17 00:01:00"
"59223001","AUCHAN RONCQ","Auchan","Boulevard d'Halluin 59223 RONCQ","osm_lat      50.74
Name: 117, dtype: object","osm_lng      3.13912
Name: 117, dtype: object","Station de gonflage|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Vente de pétrole lampant",True,False,"08:00-20:00",0.54,"2018-11-06 07:53:48"
"67200012","RELAIS CRONENBOURG","Total Access","142 ROUTE D' OBERHAUSBERGEN 67200 STRASBOURG","osm_lat      48.5956
Name: 122, dtype: object","osm_lng      7.70943
Name: 122, dtype: object","Carburant additivé|Boutique alimentaire|Station de gonflage|Boutique non alimentaire|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique",True,False,"",0.689,"2018-11-17 00:01:00"
"67700012","RELAIS SAVERNE MONSWILLER","Total","A4  Aire de Saverne  Monswiller 67700 Eckartswiller","osm_lat      48.76
Name: 125, dtype: object","osm_lng      7.36228
Name: 125, dtype: object","",False,False,"",0.749,"2018-11-16 09:00:00"
"67400001","STATION SERVICE","Auchan","6 Avenue de Strasbourg 67400 ILLKIRCH-GRAFFENSTADEN","osm_lat      48.5441
Name: 135, dtype: object","osm_lng      7.73801
Name: 135, dtype: object","Carburant additivé|Station de gonflage|Services réparation / entretien|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Bornes électriques|Automate CB 24/24",True,False,"08:00-19:00",0.699,"2018-10-03 10:07:06"
"13100016","RELAIS DE GALICE","Total","16 ROUTE DE GALICE 13100 Aix-en-Provence","osm_lat      43.5285
Name: 145, dtype: object","osm_lng      5.43245
Name: 145, dtype: object","Restauration à emporter|Carburant additivé|Boutique alimentaire|Station de gonflage|Vente de gaz domestique (Butane, Propane)|Automate CB|Lavage automatique|Lavage manuel",True,False,"",0.679,"2018-11-17 00:01:00"
"84550001","AIRE DE MORNAS VILLAGE (LES CROUSILLES)","CARAUTOROUTES","A7 AIRE DE MORNAS VILLAGE 84550 MORNAS","osm_lat      44.1945
Name: 151, dtype: object","osm_lng      4.73122
Name: 151, dtype: object","Restauration à emporter|Carburant additivé|Toilettes publiques|Douches|Boutique alimentaire|Station de gonflage|Espace bébé|Boutique non alimentaire|Piste poids lourds|Automate CB|Lavage automatique",True,False,"",0.749,"2018-11-16 10:31:08"
"47300006","INTERMARCHE VILLENEUVE S/LOT","Intermarché","Route d'Agen 47300 VILLENEUVE-SUR-LOT","osm_lat      44.3967
Name: 153, dtype: object","osm_lng      0.70764
Name: 153, dtype: object","Carburant additivé|Vente de gaz domestique (Butane, Propane)|Piste poids lourds|Automate CB|Lavage automatique",True,False,"",0.699,"2018-11-15 08:37:00"
"74000014","RELAIS DES ALLUEGES","Total Access","18 BD.DE LA ROCADE 74000 ANNECY","osm_lat      45.9093
Name: 172, dtype: object","osm_lng      6.11778
Name: 172, dtype: object","",False,False,"",0.705,"2018-11-17 00:01:00"
